sample_index,category_id,category,model_id,source_file,status,error,network_inference_ms,lm_optimization_ms,model_total_ms,pointcloud_to_result_ms,file_to_result_ms,render_ms,initial_primitives,optimized_primitives,image_path
1,02691156,airplane,e7c6e2f7c5fd372e8e9091d822257500,data/ShapeNet/02691156/e7c6e2f7c5fd372e8e9091d822257500/pointcloud.npz,success,,5.7970109628513455,137.22589705139399,143.02290801424533,151.34837396908551,152.69426302984357,1138.6902969679795,4,4,images/01_airplane_e7c6e2f7c5fd372e8e9091d822257500.png
2,03211117,display,f5fc954736b06be15fd06491ae919ea3,data/ShapeNet/03211117/f5fc954736b06be15fd06491ae919ea3/pointcloud.npz,success,,6.018918997142464,136.8230349617079,142.84195395885035,147.89659099187702,149.00362904882059,585.4307579575107,2,2,images/02_display_f5fc954736b06be15fd06491ae919ea3.png
3,03001627,chair,f23c1bb951fa8909bc01640b1b5116e7,data/ShapeNet/03001627/f23c1bb951fa8909bc01640b1b5116e7/pointcloud.npz,success,,5.894496047403663,137.7897160127759,143.68421206017956,155.846286972519,159.71631597494707,1687.291418958921,6,6,images/03_chair_f23c1bb951fa8909bc01640b1b5116e7.png
4,03001627,chair,e5f381dd81cca6a36a348179d243c2c5,data/ShapeNet/03001627/e5f381dd81cca6a36a348179d243c2c5/pointcloud.npz,success,,5.916577996686101,136.98792702052742,142.90450501721352,155.0320100504905,158.851960033644,1614.959716971498,6,6,images/04_chair_e5f381dd81cca6a36a348179d243c2c5.png
5,02958343,car,e73c88359e4f89d5e569325a7a095ac2,data/ShapeNet/02958343/e73c88359e4f89d5e569325a7a095ac2/pointcloud.npz,success,,5.951525992713869,281.65806405013427,287.60959004284814,308.7851459858939,312.75706202723086,2349.6758060064167,9,9,images/05_car_e73c88359e4f89d5e569325a7a095ac2.png
6,02958343,car,d2b847baf4a6d1a5ff1370452e3a0154,data/ShapeNet/02958343/d2b847baf4a6d1a5ff1370452e3a0154/pointcloud.npz,success,,6.040847976692021,140.0735279894434,146.1143759661354,154.85444094520062,158.5875489981845,1170.7545340177603,4,4,images/06_car_d2b847baf4a6d1a5ff1370452e3a0154.png
7,02933112,cabinet,d8bf8dcbd5cae04094beb1f48b8b494b,data/ShapeNet/02933112/d8bf8dcbd5cae04094beb1f48b8b494b/pointcloud.npz,success,,5.8375929947942495,136.87332498375326,142.7109179785475,153.27659202739596,154.4581149937585,1381.6185459727421,5,5,images/07_cabinet_d8bf8dcbd5cae04094beb1f48b8b494b.png
8,04379243,table,db4f8c9f1c62e421efca4f7cb98e0c29,data/ShapeNet/04379243/db4f8c9f1c62e421efca4f7cb98e0c29/pointcloud.npz,success,,5.698479013517499,137.60152098257095,143.29999999608845,166.35181801393628,169.8935719905421,3219.6238260366954,12,12,images/08_table_db4f8c9f1c62e421efca4f7cb98e0c29.png
9,02691156,airplane,ee562cc82d73ab212135f3a0e614f115,data/ShapeNet/02691156/ee562cc82d73ab212135f3a0e614f115/pointcloud.npz,success,,5.834592971950769,137.4593159998767,143.29390897182748,151.8510919995606,155.58264299761504,1017.5092819845304,4,4,images/09_airplane_ee562cc82d73ab212135f3a0e614f115.png
10,02691156,airplane,ec9bfc810a015c3a446cb1ee5d43f75f,data/ShapeNet/02691156/ec9bfc810a015c3a446cb1ee5d43f75f/pointcloud.npz,success,,5.856826959643513,314.7317640250549,320.5885909846984,327.6274300296791,331.38154802145436,759.7960639977828,3,3,images/10_airplane_ec9bfc810a015c3a446cb1ee5d43f75f.png
11,02958343,car,cdc8453c63ffc13e20f29d4da2b76f7a,data/ShapeNet/02958343/cdc8453c63ffc13e20f29d4da2b76f7a/pointcloud.npz,success,,5.882317025680095,137.18586304457858,143.06818007025868,151.68147202348337,153.0075459741056,1114.4502980168909,4,4,images/11_car_cdc8453c63ffc13e20f29d4da2b76f7a.png
12,03001627,chair,e35d7d19dcdc9e5c30e06a011e63236a,data/ShapeNet/03001627/e35d7d19dcdc9e5c30e06a011e63236a/pointcloud.npz,success,,5.8813439682126045,140.6856250250712,146.5669689932838,167.87624603603035,171.74943297868595,2914.7623350145295,11,11,images/12_chair_e35d7d19dcdc9e5c30e06a011e63236a.png
13,03001627,chair,ea7e09260babc698983c05814b11dc86,data/ShapeNet/03001627/ea7e09260babc698983c05814b11dc86/pointcloud.npz,success,,5.945673037786037,138.40086403070018,144.3465370684862,156.36467997683212,160.21247004391626,1778.351481014397,6,6,images/13_chair_ea7e09260babc698983c05814b11dc86.png
14,04401088,telephone,ecbb1c53e881c2b25f4e4793ed432bc1,data/ShapeNet/04401088/ecbb1c53e881c2b25f4e4793ed432bc1/pointcloud.npz,success,,5.647417972795665,137.11314200190827,142.76055997470394,146.17539598839357,149.8881530133076,356.42573999939486,1,1,images/14_telephone_ecbb1c53e881c2b25f4e4793ed432bc1.png
15,02691156,airplane,e8ed294534ba18df4a29fef5d2b2f3d7,data/ShapeNet/02691156/e8ed294534ba18df4a29fef5d2b2f3d7/pointcloud.npz,success,,6.08246197225526,136.72738103196025,142.8098430042155,151.56818402465433,155.497295956593,1159.281368018128,4,4,images/15_airplane_e8ed294534ba18df4a29fef5d2b2f3d7.png
16,03001627,chair,d504ebe36ddde74cb5e61088d6c054a1,data/ShapeNet/03001627/d504ebe36ddde74cb5e61088d6c054a1/pointcloud.npz,success,,6.521243951283395,136.4307799958624,142.9520239471458,155.4197979858145,158.91323698451743,1579.3117520515807,6,6,images/16_chair_d504ebe36ddde74cb5e61088d6c054a1.png
17,04379243,table,da7310bedd8595879daeea1362fbd792,data/ShapeNet/04379243/da7310bedd8595879daeea1362fbd792/pointcloud.npz,success,,5.947006982751191,136.54148997738957,142.48849696014076,172.80986899277195,176.56250100117177,4228.288889979012,16,16,images/17_table_da7310bedd8595879daeea1362fbd792.png
18,03001627,chair,e454cdb43a7118678162dd776d80e71f,data/ShapeNet/03001627/e454cdb43a7118678162dd776d80e71f/pointcloud.npz,success,,6.140481971669942,138.00579897360876,144.1462809452787,156.18109301431105,160.0206820294261,1685.735852981452,6,6,images/18_chair_e454cdb43a7118678162dd776d80e71f.png
19,04379243,table,e834ef941f7bc9c9e7df9f1005942e3d,data/ShapeNet/04379243/e834ef941f7bc9c9e7df9f1005942e3d/pointcloud.npz,success,,5.696086038369685,135.80811000429094,141.50419604266062,157.41842100396752,160.8806459698826,2142.307255999185,8,8,images/19_table_e834ef941f7bc9c9e7df9f1005942e3d.png
20,03211117,display,ffc9068c8de1fe46d9869786ff7f6a46,data/ShapeNet/03211117/ffc9068c8de1fe46d9869786ff7f6a46/pointcloud.npz,success,,5.6567100109532475,136.90082303946838,142.55753305042163,149.46672698715702,150.6784989614971,927.740944956895,3,3,images/20_display_ffc9068c8de1fe46d9869786ff7f6a46.png
21,02691156,airplane,d6cc7ffd165de05e2e2de556c136fbc8,data/ShapeNet/02691156/d6cc7ffd165de05e2e2de556c136fbc8/pointcloud.npz,success,,5.81319397315383,135.21109998691827,141.0242939600721,149.84898205148056,151.13787597510964,1137.6947539974935,4,4,images/21_airplane_d6cc7ffd165de05e2e2de556c136fbc8.png
22,02958343,car,f3b28c36547e6d3da721c5adce99a0b4,data/ShapeNet/02958343/f3b28c36547e6d3da721c5adce99a0b4/pointcloud.npz,success,,6.014192011207342,135.78749902080745,141.8016910320148,154.04369897441939,157.81833202345297,1701.1335589922965,6,6,images/22_car_f3b28c36547e6d3da721c5adce99a0b4.png
23,04379243,table,db9458fd1459982347b1b3e368e511da,data/ShapeNet/04379243/db9458fd1459982347b1b3e368e511da/pointcloud.npz,success,,5.681167996954173,136.3851330243051,142.06630102125928,152.50492095947266,156.22387896291912,1380.3266539471224,5,5,images/23_table_db9458fd1459982347b1b3e368e511da.png
24,04090263,rifle,e502392ba0ba05ac683e3750b53385d5,data/ShapeNet/04090263/e502392ba0ba05ac683e3750b53385d5/pointcloud.npz,success,,6.140418001450598,136.9481980218552,143.0886160233058,148.2779800426215,149.5974530116655,716.1563449772075,2,2,images/24_rifle_e502392ba0ba05ac683e3750b53385d5.png
25,03211117,display,ff8418d110a5fd5211ab369e12343c13,data/ShapeNet/03211117/ff8418d110a5fd5211ab369e12343c13/pointcloud.npz,success,,5.767740018200129,136.40996103640646,142.1777010546066,151.17647900478914,154.92657298455015,1160.3555690380745,4,4,images/25_display_ff8418d110a5fd5211ab369e12343c13.png
26,02958343,car,f0e7ce98d29eef18d966515d4de0a5fd,data/ShapeNet/02958343/f0e7ce98d29eef18d966515d4de0a5fd/pointcloud.npz,success,,6.761240016203374,135.49976999638602,142.2610100125894,151.17505099624395,152.590339013841,1154.7979949973524,4,4,images/26_car_f0e7ce98d29eef18d966515d4de0a5fd.png
27,03001627,chair,e12ac2c1c707b7b2f45a7a3d26bcb6ad,data/ShapeNet/03001627/e12ac2c1c707b7b2f45a7a3d26bcb6ad/pointcloud.npz,success,,6.02017599157989,136.87076803762466,142.89094402920455,158.87901198584586,162.74873103247955,2184.137714037206,8,8,images/27_chair_e12ac2c1c707b7b2f45a7a3d26bcb6ad.png
28,04090263,rifle,dda8e93517cb8c0ac9e18dbb8de06b45,data/ShapeNet/04090263/dda8e93517cb8c0ac9e18dbb8de06b45/pointcloud.npz,success,,6.3045459683053195,136.6847600438632,142.98930601216853,149.84395896317437,153.46132998820394,780.3163030184805,3,3,images/28_rifle_dda8e93517cb8c0ac9e18dbb8de06b45.png
29,02958343,car,d28ad2ed7b1ba665b1bb46d2556ba67d,data/ShapeNet/02958343/d28ad2ed7b1ba665b1bb46d2556ba67d/pointcloud.npz,success,,5.965903983451426,136.48774498142302,142.45364896487445,152.71667100023478,156.54115396318957,1540.0023160036653,5,5,images/29_car_d28ad2ed7b1ba665b1bb46d2556ba67d.png
30,02958343,car,cd34d1a016a5c97e5b7d03c1aa2764f0,data/ShapeNet/02958343/cd34d1a016a5c97e5b7d03c1aa2764f0/pointcloud.npz,success,,5.914761044550687,136.10560802044347,142.02036906499416,150.8139109937474,154.31148296920583,1006.2481409986503,4,4,images/30_car_cd34d1a016a5c97e5b7d03c1aa2764f0.png
